Topic,Prompts (string)
ml models on virtual machines,"“To train machine learning (ML) models on virtual machines (VMs), you can follow these general steps:
Set up a virtual machine: Choose a cloud provider or a virtualization software to create a virtual machine. Some popular cloud providers include Amazon Web Services (AWS), Microsoft Azure, and Google Cloud Platform (GCP). Install the operating system and necessary software on the VM.
Install dependencies: Install the required dependencies for ML training on the virtual machine. This typically includes libraries like TensorFlow, PyTorch, scikit-learn, or any other libraries specific to your ML framework or tools.”"
Google Ads headlines,"“Write a Google Ads headline for [product or service] that highlights the benefits of [product or service].
Create a Google Ads headline for [product or service] that targets [target audience].”"
Google Ads and Facebook Ads:,"“Headline: Create a compelling headline that summarizes the key benefits of your product or service. Use action-oriented language and highlight the pain points that your product or service solves.
Description: Write a clear and concise description that provides more information about your product or service. Be sure to include a call to action, such as ""Learn more"" or ""Buy now."""
Description prompts,"“Write a Google Ads description for [product or service] that explains the features and benefits of [product or service].Create a Facebook Ads description for [product or service] that tells a story about [product or service].
Generate a persuasive ad description for [product or service] that will convince people to buy.”
"
Call to action prompts:,"“Write a Google Ads call to action that tells people what to do next.
Create a Facebook Ads call to action that encourages people to click the ""Learn More"" button.”"
Automated segmenation,"“Automated segmentation refers to the process of automatically dividing or separating an image or data into distinct regions or segments based on predefined criteria or algorithms. It is a common task in various fields such as computer vision, medical imaging, and data analysis.”"
generative ai chatbots,"“Tell me a joke."""
generative ai chatbots,"""Can you recommend a good book to read?"""
conversation with chatbots,“Sure! Let's have a conversation. I'll play the role of the chatbot. Feel free to ask me anything or start the conversation with a specific topic or question.”
Tech Writer,"“""I want you to act as a tech writer. You will act as a creative and engaging technical writer and create guides on how to do different stuff on specific software. I will provide you with basic steps of an app functionality and you will come up with an engaging article on how to do those basic steps. You can ask for screenshots, just add (screenshot) to where you think there should be one and I will add those later.”"
Makeup Artist,"“I want you to act as a makeup artist. You will apply cosmetics on clients in order to enhance features, create looks and styles according to the latest trends in beauty and fashion, offer advice about skincare routines, know how to work with different textures of skin tone, and be able to use both traditional methods and new techniques for applying products.”"
Muslim imam,"“Act as a Muslim imam who gives me guidance and advice on how to deal with life problems. Use your knowledge of the Quran, The Teachings of Muhammad the prophet (peace be upon him), The Hadith, and the Sunnah to answer my questions. Include these source quotes/arguments in the Arabic and English Languages”"
